date,base_sales,rtb_spend,promotion_spend,livestreaming_spend,incremental_rtb,incremental_promo,incremental_live,final_sales
2024-01-01,89,32886,79017,20481,189,437,143,858
2024-01-02,83,66501,78125,15560,406,436,104,1029
2024-01-03,91,78170,72533,33856,468,428,250,1237
2024-01-04,100,99569,71102,30288,541,426,222,1289
2024-01-05,83,24770,27421,18229,145,158,125,511
2024-01-06,108,1319,7282,10894,60,44,67,279
2024-01-07,116,16426,36268,49401,108,236,375,835
2024-01-08,93,108002,15617,22700,558,78,161,890
2024-01-09,81,104866,62545,34413,553,405,255,1294
2024-01-10,91,71689,31148,7027,435,190,36,752
2024-01-11,81,72062,87804,24279,437,443,174,1135
2024-01-12,81,79804,57687,1376,475,386,0,942
2024-01-13,114,21044,74023,25272,128,431,182,855
2024-01-14,82,109729,11927,48200,561,61,365,1069
2024-01-15,69,50252,77581,19210,301,435,133,938
2024-01-16,81,45976,83048,1949,272,440,0,793
2024-01-17,77,62270,43835,1547,380,301,0,758
2024-01-18,90,5635,54562,19399,71,372,135,668
2024-01-19,78,19954,68832,8001,123,421,44,666
2024-01-20,98,88564,15735,1167,510,79,0,687
2024-01-21,117,9935,45230,37810,84,312,282,795
2024-01-22,85,72378,35879,22926,439,232,163,919
2024-01-23,88,29441,13173,14462,170,66,95,419
2024-01-24,73,46715,33078,45004,277,207,340,897
2024-01-25,82,34643,6135,5806,200,40,26,348
2024-01-26,89,42680,2323,47795,251,30,362,732
2024-01-27,102,86285,12164,15698,501,62,105,770
2024-01-28,107,35654,86680,44420,206,442,335,1090
2024-01-29,82,67968,49457,30147,415,342,221,1060
2024-01-30,86,57126,86923,41335,347,443,310,1186
2024-01-31,83,79640,38924,49200,474,260,373,1190
2024-02-01,107,112419,28063,14420,565,164,95,931
2024-02-02,89,87908,45552,48056,507,314,364,1274
2024-02-03,103,25792,39556,19474,151,265,135,654
2024-02-04,112,3741,9509,19275,66,51,134,363
2024-02-05,77,31471,57674,17019,181,386,116,760
2024-02-06,92,71409,19443,27070,434,100,196,822
2024-02-07,70,6171,55762,7707,73,378,41,562
2024-02-08,76,59563,58518,27685,363,390,201,1030
2024-02-09,92,71621,13682,27085,435,69,196,792
2024-02-10,122,40109,5521,38095,234,38,284,678
2024-02-11,107,92509,70268,41682,522,424,313,1366
2024-02-12,89,12791,41382,22022,94,281,156,620
2024-02-13,87,9016,5234,15116,81,38,100,306
2024-02-14,76,87382,89537,12966,505,444,83,1108
2024-02-15,83,59458,5200,9731,362,37,57,539
2024-02-16,86,82608,62553,2882,487,405,3,981
2024-02-17,127,52179,88531,17122,314,443,116,1000
2024-02-18,110,29568,21526,13512,171,114,88,483
2024-02-19,74,98292,12802,48320,538,65,366,1043
2024-02-20,95,95929,10924,27885,532,57,203,887
2024-02-21,88,83363,27294,17363,490,157,118,853
2024-02-22,85,32657,9094,29023,188,50,212,535
2024-02-23,98,70827,62294,6959,431,404,35,968
2024-02-24,127,43316,5606,22202,255,39,157,578
2024-02-25,116,10989,45847,31311,88,316,230,750
2024-02-26,84,110077,89702,24444,562,444,175,1265
2024-02-27,89,16418,73257,20088,108,429,140,766
2024-02-28,96,114028,55369,49692,568,376,377,1417
2024-02-29,102,53520,27562,44015,323,159,332,916
2024-03-01,88,22215,56150,31170,133,380,229,830
2024-03-02,116,65028,47433,28468,397,328,207,1048
2024-03-03,97,104753,38347,31033,552,254,228,1131
2024-03-04,81,87866,11763,10065,507,60,60,708
2024-03-05,101,96787,79794,19756,534,437,138,1210
2024-03-06,107,79054,40480,1972,472,273,0,852
2024-03-07,93,83073,17516,23777,489,89,170,841
2024-03-08,104,101903,33098,27151,547,207,197,1055
2024-03-09,122,29960,37271,11387,173,245,71,611
2024-03-10,103,58730,74478,48201,358,431,365,1257
2024-03-11,98,26545,66025,45472,154,415,343,1010
2024-03-12,110,118520,69237,36107,573,422,268,1373
2024-03-13,94,113287,992,26669,567,27,193,881
2024-03-14,110,4731,37453,43498,69,247,327,753
2024-03-15,68,84669,43320,6532,495,297,32,892
2024-03-16,128,111029,1727,39525,563,29,296,1016
2024-03-17,111,21669,23383,6241,131,127,29,398
2024-03-18,92,68153,68426,39710,416,420,297,1225
2024-03-19,96,109858,12339,13788,561,63,90,810
2024-03-20,75,4073,48177,43854,67,333,330,805
2024-03-21,93,83690,19368,47202,491,100,357,1041
2024-03-22,99,35681,1090,7439,206,28,39,372
2024-03-23,136,110927,21708,23133,563,115,165,979
2024-03-24,106,116526,87828,49049,571,443,372,1492
2024-03-25,88,113311,72138,24170,567,428,173,1256
2024-03-26,91,56905,86361,43177,346,442,325,1204
2024-03-27,105,103445,43906,29436,550,301,215,1171
2024-03-28,100,101345,9876,18766,545,53,130,828
2024-03-29,91,38292,49316,14289,222,341,94,748
2024-03-30,127,99469,40893,10161,541,277,61,1006
2024-03-31,113,4440,75992,38089,68,433,284,898
2024-04-01,107,71552,8827,19327,435,49,134,725
2024-04-02,90,27601,43941,25563,160,302,184,736
2024-04-03,94,14468,13504,24616,100,68,176,438
2024-04-04,93,9234,29220,28863,82,173,210,558
2024-04-05,83,83554,66362,43278,491,416,326,1316
2024-04-06,126,40784,42841,49036,238,293,372,1029
2024-04-07,115,86972,33829,20379,504,214,143,976
2024-04-08,98,7842,35502,41375,78,229,311,716
2024-04-09,96,37834,41350,38226,219,280,285,880
2024-04-10,84,64738,70651,28676,395,425,209,1113
2024-04-11,94,94886,80287,47802,529,438,362,1423
2024-04-12,95,38250,85980,10023,222,442,60,819
2024-04-13,116,75106,70821,5463,453,425,23,1017
2024-04-14,112,106317,28386,42698,555,166,321,1154
2024-04-15,103,73903,61932,21957,447,403,155,1108
2024-04-16,118,27955,39384,42348,162,264,318,862
2024-04-17,101,2928,22920,44654,64,124,337,626
2024-04-18,102,104411,75678,3122,552,433,4,1091
2024-04-19,99,2552,3458,44173,63,33,333,528
2024-04-20,105,104964,81158,22415,553,439,159,1256
2024-04-21,114,63472,41532,25521,388,282,184,968
2024-04-22,100,112688,57348,31329,566,385,230,1281
2024-04-23,125,95853,59341,46319,532,393,350,1400
2024-04-24,98,119752,80560,955,575,438,0,1111
2024-04-25,103,42085,57300,23842,247,385,170,905
2024-04-26,100,92062,55254,34386,521,375,255,1251
2024-04-27,114,48231,5998,36135,288,40,269,711
2024-04-28,127,57585,46656,34626,350,322,257,1056
2024-04-29,108,75300,13515,6721,454,68,33,663
2024-04-30,109,104841,66369,14969,553,416,99,1177
2024-05-01,92,118090,46099,17935,573,318,123,1106
2024-05-02,115,92192,61220,40221,521,400,301,1337
2024-05-03,87,50132,3750,13937,300,34,91,512
2024-05-04,132,50562,7631,10535,303,45,64,544
2024-05-05,139,88509,64469,47872,509,411,362,1421
2024-05-06,92,28653,6487,443,166,41,0,299
2024-05-07,96,13256,6413,49891,96,41,379,612
2024-05-08,103,42554,1089,33841,250,27,250,630
2024-05-09,97,34468,86085,41423,199,442,311,1049
2024-05-10,87,35556,66375,14730,205,416,97,805
2024-05-11,128,28032,31792,715,162,196,0,486
2024-05-12,107,5051,26688,36893,70,152,275,604
2024-05-13,107,2144,31473,41707,62,193,313,675
2024-05-14,94,118526,69718,37023,573,423,276,1366
2024-05-15,118,51332,59523,7142,308,394,37,857
2024-05-16,95,46119,16667,37671,273,84,281,733
2024-05-17,100,81557,15669,38446,483,79,287,949
2024-05-18,137,26190,8855,32927,153,49,243,582
2024-05-19,106,113995,59427,38305,568,394,286,1354
2024-05-20,106,94361,68793,42296,528,421,318,1373
2024-05-21,117,10729,23854,30680,87,130,225,559
2024-05-22,88,50109,1885,4430,300,29,15,432
2024-05-23,106,105494,7395,24381,554,44,175,879
2024-05-24,107,113367,87107,3882,567,443,11,1128
2024-05-25,137,56088,26590,20377,340,152,143,772
2024-05-26,107,73609,69230,20355,445,422,142,1116
